id,first_name,last_name,gender,Math_score,Science_score,average_score,grade
75,Kellen,Costa,Male,91.0,90.0,90.5,A
76,Bron,Tratton,Male,92.0,58.0,75.0,C
77,Lilias,Manns,Female,63.0,75.0,69.0,D
78,Ginger,Dax,Female,77.0,68.0,72.5,C
79,Gregorius,McCroary,Male,89.0,55.0,72.0,C
80,Yance,Gutowska,Male,82.0,97.0,89.5,B
81,Clari,Sharkey,Female,98.0,95.0,96.5,A
82,Eugenius,Cupitt,Male,61.0,,,D
83,Lexine,Tome,Female,65.0,91.0,78.0,C
84,Prudence,Lunt,Female,93.0,,,D
85,Nannie,Westbrook,Female,100.0,80.0,90.0,A
86,Ardyth,Alam,Female,69.0,85.0,77.0,C
87,Chev,Berkelay,Male,65.0,,,D
88,Tobey,Giggs,Female,73.0,100.0,86.5,B
89,Bartholemy,Stedall,Male,68.0,76.0,72.0,C
90,Michaella,Fairhead,Female,95.0,85.0,90.0,A
91,Jereme,Brasseur,Male,61.0,,,D
92,Marji,Furlow,Female,66.0,79.0,72.5,C
93,Dur,Hindmoor,Male,,85.0,,D
94,Kaylyn,Tearle,Female,68.0,64.0,66.0,D
95,Vivien,Le feuvre,Female,65.0,86.0,75.5,C
96,Timmy,Plank,Male,86.0,,,D
97,Alexia,Sighart,Female,,55.0,,D
98,Malissa,Rubinowitsch,Female,76.0,88.0,82.0,B
99,Alfie,Mehaffey,Non-binary,57.0,79.0,68.0,D
100,Wolfy,Scowcroft,Male,98.0,93.0,95.5,A
101,Hunt,Hebner,Male,78.0,93.0,85.5,B
102,Ethelbert,Duckett,Male,73.0,74.0,73.5,C
103,Gertrud,Rudiger,Female,79.0,56.0,67.5,D
104,Symon,Prangley,Male,85.0,87.0,86.0,B
105,Kenneth,Rojel,Male,89.0,64.0,76.5,C
106,Aurthur,Rudgley,Male,58.0,85.0,71.5,C
107,Corette,Collinette,Female,63.0,94.0,78.5,C
108,Cristian,Pagitt,Agender,99.0,94.0,96.5,A
109,Reynold,Gascoyen,Male,95.0,79.0,87.0,B
110,Winonah,Dumini,Female,69.0,,,D
111,Sharai,Julien,Female,,82.0,,D
112,Lonna,Corain,Female,,84.0,,D
113,Marcus,Chantillon,Agender,,92.0,,D
114,Kathye,Flaxman,Female,78.0,100.0,89.0,B
115,Chere,Lambertz,Female,73.0,94.0,83.5,B
116,Renaldo,Zavattieri,Male,79.0,86.0,82.5,B
117,Phillida,Buffey,Agender,,92.0,,D
118,Yul,Dugmore,Male,,91.0,,D
119,Oralee,Bachman,Female,93.0,62.0,77.5,C
120,Ulric,Schottli,Non-binary,98.0,59.0,78.5,C
121,Hillel,Swidenbank,Bigender,85.0,87.0,86.0,B
122,Aguistin,Digance,Male,74.0,,,D
123,Rasia,Lawless,Female,79.0,79.0,79.0,C
124,Hallsy,D'Abbot-Doyle,Male,,88.0,,D
125,Demetre,Braben,Male,73.0,65.0,69.0,D
126,Nikoletta,Pulman,Female,95.0,80.0,87.5,B
127,Gwenni,Venny,Female,,,,D
128,Merry,Hardcastle,Female,62.0,,,D
129,Avrit,Bootell,Female,65.0,80.0,72.5,C
130,Romola,Gasperi,Female,81.0,88.0,84.5,B
131,Melitta,Borthwick,Female,97.0,78.0,87.5,B
132,Ursula,Maslin,Female,,92.0,,D
133,Stormie,Risbie,Bigender,80.0,92.0,86.0,B
134,Kippar,Cowndley,Male,,73.0,,D
135,Ellis,Couvert,Male,71.0,63.0,67.0,D
136,Collen,Caisley,Female,74.0,62.0,68.0,D
137,Rodge,Doorey,Male,56.0,84.0,70.0,C
138,Dell,Campes,Male,,77.0,,D
139,Borden,Sanney,Male,90.0,72.0,81.0,B
140,Vicky,Assiratti,Female,85.0,59.0,72.0,C
141,Hillyer,Cantrill,Genderfluid,95.0,,,D
142,Theo,Crockett,Polygender,69.0,78.0,73.5,C
143,Whitney,Kellett,Female,81.0,93.0,87.0,B
144,Daven,Varndell,Male,61.0,72.0,66.5,D
145,Eran,Forge,Female,87.0,55.0,71.0,C
146,Katti,Galley,Female,,56.0,,D
147,Richie,Tennewell,Male,80.0,75.0,77.5,C
148,Brandie,Cocklin,Female,85.0,100.0,92.5,A
149,Florencia,Oakden,Female,86.0,88.0,87.0,B
150,Annabella,Megson,Female,96.0,,,D
151,Neal,Crackett,Male,55.0,87.0,71.0,C
152,Nydia,Van der Hoven,Female,71.0,95.0,83.0,B
153,Mathias,Connerly,Male,91.0,82.0,86.5,B
154,Berry,Birts,Female,68.0,,,D
155,Evyn,Riggott,Male,71.0,91.0,81.0,B
156,Nerti,Isaksen,Female,60.0,80.0,70.0,C
157,Annnora,Beckley,Female,98.0,77.0,87.5,B
158,Shaughn,Willbraham,Genderfluid,60.0,64.0,62.0,D
159,Row,Pantecost,Female,77.0,,,D
160,Alicea,Steele,Female,90.0,90.0,90.0,A
161,Ephrayim,Grooby,Genderfluid,80.0,95.0,87.5,B
162,Rosene,Loughman,Female,72.0,77.0,74.5,C
163,Eric,Zielinski,Male,65.0,,,D
164,Westbrooke,Gulc,Genderfluid,62.0,82.0,72.0,C
165,Donna,Ledekker,Female,67.0,96.0,81.5,B
166,Leonerd,Blasik,Male,100.0,63.0,81.5,B
167,Twila,Wannan,Female,67.0,97.0,82.0,B
168,Madalena,Pollastrone,Female,67.0,88.0,77.5,C
169,Denise,Jealous,Female,65.0,64.0,64.5,D
170,Karole,MacGilmartin,Female,96.0,88.0,92.0,A
171,Guss,Lattie,Male,93.0,94.0,93.5,A
172,Hersh,Dopson,Male,85.0,78.0,81.5,B
173,Charlene,Preuvost,Female,56.0,85.0,70.5,C
174,Malchy,Eliet,Male,68.0,99.0,83.5,B
175,Bev,Gravie,Male,96.0,82.0,89.0,B
176,Jemima,Keighly,Female,72.0,67.0,69.5,D
177,Gianna,Slingsby,Female,71.0,62.0,66.5,D
178,Solomon,Lisimore,Male,100.0,76.0,88.0,B
179,Agatha,MacCaughey,Female,69.0,81.0,75.0,C
180,Dana,Trounce,Male,60.0,98.0,79.0,C
181,Delcine,Tweede,Female,80.0,,,D
182,Kellia,Jordison,Female,84.0,78.0,81.0,B
183,Wat,MacCorley,Male,92.0,57.0,74.5,C
184,Morris,Sibbald,Male,73.0,82.0,77.5,C
185,Cherise,Wilding,Female,70.0,88.0,79.0,C
186,Judd,Treadgold,Male,76.0,83.0,79.5,C
187,Kristoffer,Sisey,Polygender,90.0,79.0,84.5,B
188,Franciska,Willerson,Female,57.0,91.0,74.0,C
189,Thaddeus,Bilbery,Male,55.0,59.0,57.0,D
190,Rabbi,Cleaves,Agender,76.0,76.0,76.0,C
191,Der,Hegerty,Male,87.0,82.0,84.5,B
192,Gaultiero,Loade,Male,58.0,85.0,71.5,C
193,Jarred,Cullinan,Male,70.0,58.0,64.0,D
194,Irma,Merrigan,Female,92.0,77.0,84.5,B
195,Aldous,Janda,Male,64.0,70.0,67.0,D
196,Filmore,Sentinella,Male,90.0,89.0,89.5,B
197,Andi,Chaplin,Non-binary,99.0,66.0,82.5,B
198,Lorrin,Rottcher,Female,72.0,70.0,71.0,C
199,Larine,Rothon,Female,,94.0,,D
200,Clem,Bulter,Female,75.0,81.0,78.0,C
201,Salomi,Felder,Female,,95.0,,D
202,Calla,Bosson,Genderfluid,,67.0,,D
203,Matthew,Bes,Male,55.0,60.0,57.5,D
204,Linn,Baribal,Female,,100.0,,D
205,Dawna,Agostini,Female,84.0,79.0,81.5,B
206,Jerry,Shergill,Female,90.0,76.0,83.0,B
207,Sergio,Pinckard,Male,66.0,68.0,67.0,D
208,Marjie,Winny,Female,,73.0,,D
209,Manfred,Gration,Male,84.0,57.0,70.5,C
210,Ranee,Evesque,Female,77.0,71.0,74.0,C
211,Ranee,Pau,Female,64.0,63.0,63.5,D
212,Falito,Screas,Male,93.0,86.0,89.5,B
213,Angie,Whittlesee,Female,80.0,75.0,77.5,C
214,Red,Sivess,Male,91.0,95.0,93.0,A
215,Archaimbaud,Sagg,Male,86.0,59.0,72.5,C
216,Magdalen,Deards,Female,85.0,83.0,84.0,B
217,Tisha,Velden,Female,86.0,71.0,78.5,C
218,Atlante,Kelf,Female,,66.0,,D
219,Cristie,Spore,Female,57.0,80.0,68.5,D
220,Red,Spilsted,Male,98.0,78.0,88.0,B
221,Isa,Lamerton,Female,70.0,89.0,79.5,C
222,Trescha,Prestner,Female,86.0,68.0,77.0,C
223,Bailey,Jeyness,Male,86.0,78.0,82.0,B
224,Tiphani,Kalkhoven,Genderfluid,75.0,79.0,77.0,C
225,Brady,Orto,Male,56.0,59.0,57.5,D
226,Demeter,Roft,Female,61.0,85.0,73.0,C
227,Lillis,Blasiak,Female,84.0,81.0,82.5,B
228,Judith,Mitrikhin,Female,58.0,93.0,75.5,C
229,Serge,McGowran,Male,99.0,81.0,90.0,A
230,Marsha,Rickis,Female,67.0,,,D
231,Veradis,Deplacido,Female,72.0,74.0,73.0,C
232,Rey,Duplan,Male,64.0,59.0,61.5,D
233,Gratiana,Clancy,Female,55.0,86.0,70.5,C
234,Vale,Synan,Male,79.0,,,D
235,Vinnie,Lyles,Male,96.0,82.0,89.0,B
236,Vittorio,Mixture,Male,82.0,74.0,78.0,C
237,Claretta,Hame,Female,71.0,92.0,81.5,B
238,Maxy,Willis,Female,,76.0,,D
239,Kele,Harte,Male,75.0,84.0,79.5,C
240,Maribelle,Cecil,Female,59.0,,,D
241,Shea,Kinset,Male,69.0,75.0,72.0,C
242,Bernadette,Glossop,Female,55.0,63.0,59.0,D
243,Alberta,Laux,Bigender,72.0,97.0,84.5,B
244,Nikki,Aubrun,Male,,64.0,,D
245,Bunni,Spellessy,Female,55.0,76.0,65.5,D
246,Corie,Livick,Female,80.0,61.0,70.5,C
247,Emory,Cunde,Genderfluid,91.0,92.0,91.5,A
248,Olympe,Rudgley,Female,89.0,81.0,85.0,B
249,August,Derle,Male,98.0,84.0,91.0,A
250,Marlin,Ebdon,Male,98.0,85.0,91.5,A
251,Far,Ciementini,Male,78.0,93.0,85.5,B
252,Silvio,Muspratt,Male,82.0,61.0,71.5,C
253,Gigi,Jilkes,Female,94.0,57.0,75.5,C
254,Puff,McArthur,Male,,62.0,,D
255,Lena,Rubinchik,Female,58.0,61.0,59.5,D
256,Cody,Ateridge,Male,79.0,71.0,75.0,C
257,Harrie,Crier,Female,66.0,,,D
258,Sheffy,Ballston,Male,63.0,79.0,71.0,C
259,Godart,Jankowski,Male,70.0,68.0,69.0,D
260,Baryram,Gerdes,Male,64.0,93.0,78.5,C
261,Ariela,Thow,Non-binary,95.0,92.0,93.5,A
262,Agnesse,Brenard,Female,79.0,71.0,75.0,C
263,Etienne,Hearst,Male,,59.0,,D
264,Aubrey,Whyard,Female,80.0,59.0,69.5,D
265,Ki,de Cullip,Female,,77.0,,D
266,Ben,Towll,Male,89.0,70.0,79.5,C
267,Nobe,Anslow,Polygender,83.0,71.0,77.0,C
268,Verney,McCracken,Agender,76.0,83.0,79.5,C
269,Annelise,Ties,Female,85.0,,,D
270,Carmella,Hebblewhite,Female,,65.0,,D
271,Garrott,Poytres,Male,,63.0,,D
272,Bobby,Champerlen,Male,79.0,78.0,78.5,C
273,Nathalia,Androsik,Female,84.0,66.0,75.0,C
274,Junie,Spelsbury,Female,,69.0,,D
275,Esteban,Roskrug,Male,55.0,,,D
276,Kore,Clara,Female,82.0,68.0,75.0,C
277,Berkly,Hamshaw,Male,,69.0,,D
278,Milli,Skule,Female,97.0,74.0,85.5,B
279,Nelle,Hamnett,Female,60.0,56.0,58.0,D
280,Gunilla,Meddemmen,Female,99.0,84.0,91.5,A
281,Katherina,Pennell,Bigender,66.0,62.0,64.0,D
282,Louise,Goodwyn,Female,88.0,80.0,84.0,B
283,Baillie,Lefley,Male,90.0,70.0,80.0,B
284,Jilli,Garie,Female,95.0,82.0,88.5,B
285,Marguerite,Hendin,Female,99.0,81.0,90.0,A
286,Chico,Gibby,Male,95.0,55.0,75.0,C
287,Pennie,McGonnell,Male,76.0,77.0,76.5,C
288,Bailey,Janeway,Male,,,,D
289,Cal,Spick,Genderfluid,91.0,55.0,73.0,C
290,Clem,Ropking,Female,59.0,81.0,70.0,C
291,Gayla,Amphlett,Female,65.0,,,D
292,Early,Robbey,Male,98.0,89.0,93.5,A
293,Bernardo,Hizir,Male,90.0,66.0,78.0,C
294,Elmo,Downey,Male,,60.0,,D
295,Lindsay,Castella,Female,99.0,70.0,84.5,B
296,Kaine,Cowup,Male,80.0,61.0,70.5,C
297,Ignace,Oxtoby,Male,68.0,76.0,72.0,C
298,Torrey,Lamperti,Male,,96.0,,D
299,Clark,Coleman,Male,77.0,90.0,83.5,B
300,Isadora,Bielfeld,Female,,59.0,,D
301,Norman,Seys,Male,92.0,91.0,91.5,A
302,Jone,Crocroft,Male,74.0,86.0,80.0,B
303,Bald,Measham,Male,59.0,99.0,79.0,C
304,Abie,Sussans,Male,61.0,71.0,66.0,D
305,Rurik,Maginot,Male,84.0,69.0,76.5,C
306,Briny,Spittles,Female,66.0,,,D
307,Merrile,Perulli,Female,78.0,,,D
308,Gaston,Cawthron,Male,69.0,73.0,71.0,C
309,Howey,Burness,Male,84.0,63.0,73.5,C
310,Barbee,Kretschmer,Female,58.0,69.0,63.5,D
311,Sebastian,Grisenthwaite,Male,80.0,94.0,87.0,B
312,Neill,Edgson,Male,85.0,60.0,72.5,C
313,Wakefield,Evelyn,Genderfluid,77.0,98.0,87.5,B
314,Stefano,Voaden,Male,63.0,92.0,77.5,C
315,Lief,Bleckly,Non-binary,57.0,79.0,68.0,D
316,Frazier,Sappson,Male,79.0,92.0,85.5,B
317,Mitchell,Sancias,Male,85.0,91.0,88.0,B
318,Drud,Urey,Male,,98.0,,D
319,Karel,Craydon,Female,,95.0,,D
320,Hillary,Kitching,Female,75.0,97.0,86.0,B
321,Artie,Huntall,Male,91.0,91.0,91.0,A
322,Lisa,Julyan,Female,100.0,77.0,88.5,B
323,Kiri,Stood,Female,,70.0,,D
324,Willa,Bulley,Female,,74.0,,D
325,Ros,Depka,Non-binary,90.0,72.0,81.0,B
326,Anatollo,McSweeney,Male,67.0,65.0,66.0,D
327,Genevieve,Hellsdon,Female,95.0,,,D
328,Regina,Adie,Female,100.0,,,D
329,Marline,Powles,Female,,77.0,,D
330,Nikki,Karppi,Female,71.0,69.0,70.0,C
331,Curtis,Loughton,Male,56.0,99.0,77.5,C
332,Valencia,Kordt,Female,80.0,91.0,85.5,B
333,Harrison,Rixon,Male,86.0,55.0,70.5,C
334,Joseph,Wheal,Male,64.0,94.0,79.0,C
335,Carolin,Zanutti,Female,80.0,74.0,77.0,C
336,Pall,Ramlot,Male,80.0,55.0,67.5,D
337,Khalil,Catchpole,Male,58.0,91.0,74.5,C
338,Devora,Bullant,Genderqueer,76.0,,,D
339,Farley,Marishenko,Male,,86.0,,D
340,Mike,Persence,Male,59.0,86.0,72.5,C
341,Roxana,Sillis,Non-binary,80.0,75.0,77.5,C
342,Deck,Hagley,Male,83.0,81.0,82.0,B
343,Mikel,France,Male,,64.0,,D
344,Hinze,Pinnell,Male,60.0,89.0,74.5,C
345,Olga,Willcock,Female,77.0,,,D
346,Boony,Palia,Male,68.0,62.0,65.0,D
347,Hebert,Cleere,Male,59.0,81.0,70.0,C
348,Rebecka,Malt,Female,58.0,,,D
349,Gayler,McCowan,Male,93.0,58.0,75.5,C
350,Cole,Bauduccio,Male,71.0,,,D
351,Johanna,Clampton,Female,65.0,77.0,71.0,C
352,Bethany,Giacopazzi,Female,72.0,67.0,69.5,D
353,Marisa,Morgan,Genderqueer,79.0,75.0,77.0,C
354,Bernelle,O'Rudden,Female,60.0,81.0,70.5,C
355,Donaugh,Armfield,Male,92.0,69.0,80.5,B
356,Barbabas,Mishaw,Male,91.0,76.0,83.5,B
357,Maude,Alger,Agender,63.0,72.0,67.5,D
358,Hewitt,Lippiatt,Male,89.0,97.0,93.0,A
359,Ferdy,Stapleton,Male,84.0,91.0,87.5,B
360,Dud,Strettle,Male,71.0,,,D
361,Truman,Salasar,Male,,64.0,,D
362,Rubetta,Leith-Harvey,Female,90.0,61.0,75.5,C
363,Britteny,Golsworthy,Female,65.0,77.0,71.0,C
364,Jessalin,Stovine,Female,71.0,93.0,82.0,B
365,Bliss,MacGuigan,Female,,88.0,,D
366,Anett,Dodding,Female,80.0,,,D
367,Marylou,Plinck,Female,86.0,81.0,83.5,B
368,Shandy,Rulf,Female,,99.0,,D
369,Lusa,Noore,Female,80.0,68.0,74.0,C
370,Grantley,Probat,Male,71.0,75.0,73.0,C
371,David,Chapling,Male,87.0,70.0,78.5,C
372,Heinrik,Statham,Male,100.0,63.0,81.5,B
373,Blanch,Crofthwaite,Female,96.0,75.0,85.5,B
374,Orin,Sey,Male,89.0,97.0,93.0,A
375,Normie,Ashenhurst,Male,66.0,95.0,80.5,B
376,Cathyleen,Heazel,Non-binary,,,,D
377,Trey,Crossman,Male,74.0,98.0,86.0,B
378,Karen,Aldus,Genderfluid,69.0,74.0,71.5,C
379,Sansone,Bigg,Male,56.0,74.0,65.0,D
380,Bobbie,Waldocke,Female,73.0,,,D
381,Orin,Sirette,Male,90.0,94.0,92.0,A
382,Deeanne,Benoi,Female,87.0,75.0,81.0,B
383,Car,Satford,Male,89.0,67.0,78.0,C
384,Klement,Prescote,Male,87.0,,,D
385,Karel,Manoch,Bigender,83.0,64.0,73.5,C
386,Pierrette,Northeast,Female,63.0,98.0,80.5,B
387,Roberto,Carlill,Male,,79.0,,D
388,Eimile,Lawther,Female,61.0,,,D
389,Minor,Bernardet,Male,71.0,87.0,79.0,C
390,Jobina,Schaben,Female,80.0,59.0,69.5,D
391,Lazare,Kenyon,Male,71.0,87.0,79.0,C
392,Kim,Phlipon,Male,90.0,70.0,80.0,B
393,Brian,Mulgrew,Male,98.0,78.0,88.0,B
394,Victoir,Chiese,Male,,98.0,,D
395,Trenna,Kruschov,Female,64.0,,,D
396,Arny,Reisin,Male,,83.0,,D
397,Bailey,Coolbear,Male,84.0,80.0,82.0,B
398,Homere,Clemenza,Male,84.0,55.0,69.5,D
399,Viva,O'Shevlan,Female,67.0,75.0,71.0,C
400,Sydney,Pietzner,Female,92.0,57.0,74.5,C
401,Erin,Camlin,Male,87.0,81.0,84.0,B
402,Bev,Peskin,Male,75.0,86.0,80.5,B
403,Zabrina,Horburgh,Female,65.0,,,D
404,Tory,Hassur,Female,67.0,88.0,77.5,C
405,Cointon,Gluyus,Male,85.0,62.0,73.5,C
406,Janette,Rawet,Female,64.0,92.0,78.0,C
407,Erich,MacGall,Male,61.0,95.0,78.0,C
408,Dav,Stairmond,Male,62.0,,,D
409,Ruttger,Thripp,Male,84.0,81.0,82.5,B
410,Salomo,Laws,Male,84.0,78.0,81.0,B
411,Marilin,Ivushkin,Female,97.0,90.0,93.5,A
412,Stavros,Dowle,Male,62.0,96.0,79.0,C
413,Emmit,Densie,Male,67.0,80.0,73.5,C
414,Vivianna,Graben,Female,73.0,73.0,73.0,C
415,Gabie,Eddowis,Polygender,100.0,80.0,90.0,A
416,Silva,O'Brogane,Bigender,89.0,63.0,76.0,C
417,Valerye,Graal,Female,93.0,67.0,80.0,B
418,Bel,Greneham,Female,75.0,65.0,70.0,C
419,Derby,Filipchikov,Male,86.0,59.0,72.5,C
420,Stearn,Anwell,Male,66.0,,,D
421,Zane,Turneux,Male,,77.0,,D
422,Fionnula,Grindle,Female,81.0,,,D
423,Mala,Nendick,Female,63.0,61.0,62.0,D
424,Sadye,Dupree,Female,60.0,81.0,70.5,C
425,Cristiano,Skaid,Male,91.0,56.0,73.5,C
426,Gui,Strippel,Female,80.0,87.0,83.5,B
427,Melinda,Barringer,Genderfluid,,85.0,,D
428,Hamil,Pickervance,Male,76.0,,,D
429,Elston,Doldon,Male,,88.0,,D
430,Maxwell,Charlo,Male,96.0,75.0,85.5,B
431,Tammara,Glander,Female,74.0,87.0,80.5,B
432,Jule,Baggallay,Male,69.0,67.0,68.0,D
433,Stormie,Kelloway,Female,91.0,,,D
434,Nanon,Purkins,Genderfluid,82.0,100.0,91.0,A
435,Hannah,Dreamer,Female,83.0,,,D
436,Zaneta,Cruxton,Female,99.0,56.0,77.5,C
437,Garold,Emeline,Male,98.0,86.0,92.0,A
438,Reinaldo,Utting,Male,88.0,83.0,85.5,B
439,Rosalynd,Thorrold,Female,63.0,,,D
440,Tate,Scurrer,Male,74.0,,,D
441,Merill,Gregoli,Male,76.0,95.0,85.5,B
442,Nevil,Worsall,Male,,57.0,,D
443,Bartholomeus,Chilley,Male,84.0,,,D
444,Jennee,Schuricht,Female,,63.0,,D
445,Arlee,Alpine,Female,83.0,,,D
446,Griffith,Horsey,Male,57.0,65.0,61.0,D
447,Justis,Yerrell,Male,63.0,90.0,76.5,C
448,Abrahan,Aicheson,Male,84.0,,,D
449,Fredra,McCanny,Female,79.0,61.0,70.0,C
450,Rowena,Flavelle,Female,55.0,,,D
451,Shirline,Dillinger,Polygender,90.0,100.0,95.0,A
452,Noland,Chessil,Male,85.0,88.0,86.5,B
453,Caldwell,Whitwam,Genderfluid,66.0,89.0,77.5,C
454,Deck,Aldred,Male,67.0,59.0,63.0,D
455,Mackenzie,Hadcroft,Polygender,69.0,68.0,68.5,D
456,Selle,Linnock,Female,69.0,93.0,81.0,B
457,Wilow,Daber,Female,77.0,85.0,81.0,B
458,Leanora,Speerman,Female,99.0,86.0,92.5,A
459,Cymbre,Wagge,Female,84.0,76.0,80.0,B
460,Irvin,Scothorne,Male,,91.0,,D
461,Timoteo,Alkin,Male,76.0,71.0,73.5,C
462,Jere,St. Hill,Female,67.0,88.0,77.5,C
463,Donalt,Murty,Male,92.0,,,D
464,Nappie,Paal,Male,97.0,94.0,95.5,A
465,Michel,Demkowicz,Female,86.0,,,D
466,Nickolas,Slay,Polygender,94.0,,,D
467,Trescha,Iwanowicz,Female,89.0,59.0,74.0,C
468,Brander,Domonkos,Male,,94.0,,D
469,Barbey,Suddaby,Female,85.0,80.0,82.5,B
470,Joel,Ross,Male,67.0,59.0,63.0,D
471,Corine,Line,Genderfluid,89.0,56.0,72.5,C
472,Bill,Stinchcombe,Female,75.0,62.0,68.5,D
473,Meg,Wynn,Female,77.0,60.0,68.5,D
474,Kiel,Barhem,Male,,81.0,,D
475,Karlis,Hambleton,Male,84.0,82.0,83.0,B
476,Sisely,Cloney,Female,67.0,59.0,63.0,D
477,Ilsa,Gaul,Female,74.0,,,D
478,Bear,Massot,Male,73.0,68.0,70.5,C
479,Cristine,Navarijo,Female,61.0,87.0,74.0,C
480,Shena,Habbema,Female,93.0,93.0,93.0,A
481,Jasen,Rhymer,Male,55.0,66.0,60.5,D
482,Nigel,Brixham,Male,68.0,98.0,83.0,B
483,Allin,Egginton,Male,93.0,61.0,77.0,C
484,Gaspar,Claasen,Male,,60.0,,D
485,Alford,Fortescue,Agender,79.0,57.0,68.0,D
486,Adina,Blackhall,Female,,69.0,,D
487,Donnie,Endecott,Female,55.0,89.0,72.0,C
488,Dion,Cunrado,Male,,70.0,,D
489,Romonda,Pollen,Female,57.0,,,D
490,Raquela,Leates,Female,79.0,,,D
491,Andy,Hansemann,Male,80.0,90.0,85.0,B
492,Ingrim,Ivers,Male,71.0,64.0,67.5,D
493,Normy,Bolin,Male,56.0,,,D
494,Wilfred,Fossett,Male,,95.0,,D
495,Allison,Leal,Female,74.0,,,D
496,Harper,Fiorentino,Genderfluid,57.0,70.0,63.5,D
497,Doll,Locket,Female,91.0,85.0,88.0,B
498,Sapphire,Wooff,Female,92.0,67.0,79.5,C
