id,first_name,last_name,gender,Math_score,Science_score
458,Leanora,Speerman,Female,99,86
459,Cymbre,Wagge,Female,84,76
460,Irvin,Scothorne,Male,,91
461,Timoteo,Alkin,Male,76,71
462,Jere,St. Hill,Female,67,88
463,Donalt,Murty,Male,92,
464,Nappie,Paal,Male,97,94
465,Michel,Demkowicz,Female,86,
466,Nickolas,Slay,Polygender,94,
467,Trescha,Iwanowicz,Female,89,59
468,Brander,Domonkos,Male,,94
469,Barbey,Suddaby,Female,85,80
470,Joel,Ross,Male,67,59
471,Corine,Line,Genderfluid,89,56
472,Bill,Stinchcombe,Female,75,62
473,Meg,Wynn,Female,77,60
474,Kiel,Barhem,Male,,81
475,Karlis,Hambleton,Male,84,82
476,Sisely,Cloney,Female,67,59
477,Ilsa,Gaul,Female,74,
478,Bear,Massot,Male,73,68
479,Cristine,Navarijo,Female,61,87
480,Shena,Habbema,Female,93,93
481,Jasen,Rhymer,Male,55,66
482,Nigel,Brixham,Male,68,98
483,Allin,Egginton,Male,93,61
484,Gaspar,Claasen,Male,,60
485,Alford,Fortescue,Agender,79,57
486,Adina,Blackhall,Female,,69
487,Donnie,Endecott,Female,55,89
488,Dion,Cunrado,Male,,70
489,Romonda,Pollen,Female,57,
490,Raquela,Leates,Female,79,
491,Andy,Hansemann,Male,80,90
492,Ingrim,Ivers,Male,71,64
493,Normy,Bolin,Male,56,
494,Wilfred,Fossett,Male,,95
495,Allison,Leal,Female,74,
496,Harper,Fiorentino,Genderfluid,57,70
497,Doll,Locket,Female,91,85
498,Sapphire,Wooff,Female,92,67
499,Rudolph,Garraway,Male,62,
500,Nicki,Touhig,Female,59,100
501,Solly,Carren,Male,91,60
502,Flor,Florez,Female,86,89
503,Loretta,Kyne,Female,92,71
504,Wynnie,Attenbarrow,Female,65,
505,Zebulon,Woolvett,Male,,93
506,Tomas,Brunotti,Male,58,70
507,Ellsworth,Peer,Male,87,85
508,Scotty,Crolla,Male,67,81
509,Jefferey,Alexandre,Male,68,88
510,Gayleen,Shimmin,Female,,69
511,Scarface,Aleksich,Male,91,99
512,Chase,Harris,Male,79,
513,Kent,Cogan,Agender,61,
514,Mella,Rusk,Female,68,93
515,Cristionna,Robjohns,Female,,64
516,Doti,McQuilliam,Female,70,57
517,Bondon,Doxsey,Male,97,95
518,Bealle,Meach,Male,71,
519,Shaw,Sweatman,Male,74,
520,Flossie,Dumbarton,Female,90,65
521,Karla,Harbin,Female,56,78
522,Fara,Citrine,Female,74,60
523,Janeen,Valentim,Polygender,68,85
524,Maurine,Hanniger,Female,84,56
525,Damian,Ferrolli,Male,57,76
526,Barry,Brussell,Female,59,93
527,Isidor,Keaves,Male,91,
528,Aloisia,Bownd,Female,100,67
529,Madelaine,Lorrimer,Female,63,92
530,Herschel,Lauxmann,Male,100,96
531,Daloris,Robottham,Female,72,73
532,Eamon,Corrin,Male,97,57
533,Emlynne,Annakin,Female,99,72
534,Erick,Pawlicki,Male,87,58
535,Jilleen,MacLaverty,Non-binary,100,99
536,Fee,Wyrall,Male,,67
537,Cedric,Guttridge,Male,59,99
538,Hailey,Teale,Agender,94,
539,Rossie,Fevers,Male,97,58
540,Peggie,Aitken,Female,62,
541,Dev,Oxborrow,Male,64,97
542,Amargo,Hamlen,Female,84,78
543,Lani,Cranidge,Female,98,65
544,Serge,Duinkerk,Male,66,
545,Abagail,Crowche,Genderfluid,82,100
546,Letisha,Paslow,Female,58,
547,Gery,Adamovich,Male,71,75
548,Vidovic,Gerlts,Male,85,67
549,Durante,Melia,Male,56,65
550,Vite,Harce,Male,81,61
551,Eulalie,Heppenspall,Bigender,66,79
552,Tracey,Parade,Male,67,75
553,Gretchen,Findon,Female,57,72
554,Thorsten,Mulqueen,Genderqueer,95,89
555,Filmer,Escofier,Male,69,60
556,Karlan,Phelp,Male,69,82
557,Chloette,Barlas,Female,64,92
558,Dyan,Kenyon,Female,82,68
559,Bron,Everson,Male,,83
560,Faye,Kneesha,Female,88,85
561,Gardy,Maccrae,Male,77,97
562,Carita,Blakebrough,Female,85,79
563,Crystal,Boylund,Female,,82
564,Trev,Crisell,Male,80,93
565,Donica,Shelf,Female,70,87
566,Caprice,Bradly,Female,86,70
567,Tobin,Belson,Male,89,55
568,Sibilla,Bartlomiejczyk,Female,99,64
569,Bili,Jorge,Female,94,81
570,Amara,Hortop,Female,96,85
571,Way,Reinger,Male,77,85
572,Alasdair,Habershon,Male,,73
573,Frances,Laville,Female,57,86
574,Ariel,Janiszewski,Male,79,89
575,Stephine,Garza,Female,72,
576,Bebe,Quartley,Female,71,65
577,Brana,McGaraghan,Female,,61
578,Jessa,Hawley,Female,90,57
579,Logan,Inggall,Male,77,64
580,Yolande,Sammons,Female,71,56
581,Leela,Toombs,Female,90,
582,Mallory,Byer,Male,85,86
583,Germain,Jerrome,Male,74,82
584,Dani,Wetwood,Female,67,93
585,Ab,Erdes,Male,,66
586,Jacqueline,Malyon,Female,69,86
587,Lettie,Tollmache,Female,61,92
588,Horatius,January,Male,89,94
589,Therese,Leadbitter,Female,58,58
590,Liana,Sebright,Female,84,59
591,Curry,Lambertini,Male,93,97
592,Brennan,Sneesby,Male,,77
593,Merell,Meininking,Male,66,
594,Wilfred,Ardy,Male,73,83
595,Sammy,Matyas,Female,80,
596,Pepe,Signore,Male,,
597,Celestia,Orlton,Female,97,84
598,Rayna,MacDaid,Female,90,96
599,Robbert,Klimmek,Male,96,92
600,Erie,Lints,Male,77,
601,Prince,Ochterlonie,Male,89,70
602,Elias,Radish,Male,89,66
603,Hartley,Van Eeden,Male,64,94
604,Storm,Whitley,Female,62,
605,Holt,Lewtey,Agender,83,68
606,Ludovika,Felton,Female,,88
607,Gennifer,McMeekan,Female,87,83
608,Silvain,Costin,Male,100,94
609,Rich,Camerati,Male,89,90
610,Hy,Lauder,Male,75,87
611,Morena,Petche,Genderqueer,,58
612,Hortense,Trevor,Female,97,63
613,Gar,Southgate,Male,97,
614,Almeta,Shilladay,Female,60,71
615,Herminia,Antley,Genderfluid,69,58
616,Sashenka,Saffill,Female,92,66
617,Sascha,Giacubo,Male,95,63
618,Katleen,Cragg,Female,64,85
619,Chryste,Teodori,Female,61,
620,Filippa,Brettel,Female,73,67
621,Nikoletta,Ramalho,Female,61,59
622,Erna,Jessope,Female,92,55
623,Nevil,Ewbanck,Male,82,69
624,Heida,Pritchett,Female,99,82
625,Kassia,Blasio,Female,76,76
626,Lynnette,Attew,Female,100,69
627,Skippy,Argo,Male,82,84
628,Filide,Meeks,Female,67,84
629,Mufinella,Kinnear,Female,90,95
630,Dacie,Mutter,Female,82,100
631,Erda,Order,Bigender,,60
632,Vidovic,Stoffler,Male,60,60
633,Ettie,Crysell,Female,56,
634,Farris,Axten,Male,78,56
635,Sawyere,Starkey,Male,98,95
636,Hersh,Woonton,Male,,71
637,Richart,Fowell,Male,56,60
638,Currey,Wordley,Male,59,78
639,Walsh,Muffin,Male,82,
640,Maible,Spedding,Non-binary,71,63
641,Amerigo,Baert,Male,72,
642,Stephannie,Brownjohn,Female,66,70
643,Jonas,Coultish,Polygender,80,68
644,Alessandra,Folshom,Female,79,79
645,Rosana,Londing,Female,81,63
646,Robenia,Whitley,Female,90,95
647,Curtice,Weeden,Male,63,55
648,Mariejeanne,Ottosen,Female,66,93
649,Thaddus,Jeffs,Male,94,
650,Drugi,Calles,Male,66,90
651,Garwood,Tuffley,Male,99,93
652,Dannye,Sinderson,Female,86,
653,Vivi,Fysh,Female,,79
654,Broderic,Velte,Male,,77
655,Sabina,Romaine,Female,92,
656,Joseito,Crayk,Male,,73
657,Cazzie,Gillott,Male,,74
658,Nilson,Danev,Male,66,87
659,Melody,Ionnisian,Female,60,83
660,Brigida,Switland,Female,88,66
661,Jule,McGaugey,Male,93,
662,Roy,Connal,Male,55,65
663,Agretha,Eggerton,Female,68,100
664,Abran,Novelli,Male,,63
665,Lamar,Mettetal,Bigender,77,99
666,Darn,Nequest,Male,81,98
667,Arnoldo,Klulisek,Male,91,75
668,Ted,Merwood,Female,73,89
669,Oneida,Surpliss,Female,79,57
670,Huntley,Vamplers,Male,86,89
671,Avigdor,Gaddes,Male,,82
672,Phillis,Aubert,Female,,69
673,Rod,Buston,Male,81,91
674,Marney,Gossage,Female,,95
675,Tirrell,Tarpey,Bigender,91,65
676,Clarissa,Elmhurst,Female,81,83
677,Celle,Biasetti,Female,67,98
678,Burnaby,Camel,Male,72,65
679,Heindrick,Chishull,Male,99,58
680,Shane,Lawson,Female,64,67
681,Carce,Pettett,Male,66,78
682,Dalila,Wellington,Polygender,93,
683,Cecil,Trussman,Male,70,92
684,Chalmers,Colston,Male,100,78
685,Kelly,Font,Female,70,85
686,Ania,Frear,Genderqueer,88,88
687,Christin,Huxham,Female,,73
688,Timotheus,Tidman,Male,,86
689,Berne,Lavrinov,Male,68,70
690,Markus,Eastup,Male,66,84
691,Fairfax,Isacoff,Male,58,80
692,Josepha,De Souza,Female,63,82
693,Piper,Rorke,Genderqueer,,88
694,Hort,Rylstone,Male,80,67
695,Verene,Pochet,Female,69,91
696,Gearard,Mengo,Male,59,96
697,Lewes,Pirazzi,Male,98,89
698,Rhys,Blaxeland,Male,97,
699,Leeanne,Parkman,Female,56,77
700,Ania,Rospars,Bigender,86,75
701,Christen,Pettyfer,Female,,56
702,Bax,Grass,Polygender,81,74
703,Edan,Rawlingson,Male,94,68
704,Lotty,Hovard,Female,97,67
705,Nan,Briddock,Female,92,59
706,Gerick,Gready,Male,66,87
707,Katrina,Nutty,Female,80,84
708,Kati,Hatherell,Female,67,96
709,Billye,Sawnwy,Female,61,56
710,Wat,Stallwood,Male,81,88
711,Oby,Sherreard,Male,,62
712,Yelena,Fawcett,Female,96,69
713,Guillemette,Yandell,Female,93,72
714,Bella,Makepeace,Female,75,81
715,Britney,Seagrove,Female,64,72
716,Muffin,Dorcey,Male,,62
717,Mahalia,Kubatsch,Female,,89
718,Teodorico,Noades,Male,63,88
719,Daniella,Aldrin,Female,81,
720,Link,Cristofalo,Male,75,89
721,Shina,Aizic,Female,70,55
722,Dag,Sharrocks,Male,,96
723,Loria,Lovemore,Female,69,81
724,Uriel,Mould,Male,84,82
725,Sheila-kathryn,Iacoboni,Female,93,96
726,Carlee,Shermore,Female,93,69
